Feature,Importance
Torque__Nm_,1336
Rotational_speed__rpm_,1026
Tool_wear__min_,534
days_since_maintenance,530
Process_temperature__K__roll_std,505
Tool_wear__min__roll_mean,484
Torque__Nm__lag1,470
torque_x_load,460
Process_temperature__K__roll_mean,457
production_demand,456
energy_load_index,437
Torque__Nm__roll_mean,424
Rotational_speed__rpm__change,420
Air_temperature__K__roll_std,413
Rotational_speed__rpm__roll_std,402
wear_x_demand,392
Rotational_speed__rpm__lag2,390
Torque__Nm__roll_std,385
Torque__Nm__lag2,384
Tool_wear__min__roll_std,354
Air_temperature__K_,348
Torque__Nm__change,347
Air_temperature__K__roll_mean,345
Air_temperature__K__lag1,326
Process_temperature__K_,317
Rotational_speed__rpm__roll_mean,307
Rotational_speed__rpm__lag1,296
ambient_humidity,276
Tool_wear__min__lag1,242
Tool_wear__min__lag2,241
temp_x_humidity,236
Process_temperature__K__change,225
Process_temperature__K__lag1,215
Process_temperature__K__lag2,185
Air_temperature__K__lag2,145
Air_temperature__K__change,134
Process_temperature__K__roll_var,104
Air_temperature__K__roll_var,94
Rotational_speed__rpm__roll_var,87
Tool_wear__min__roll_var,85
Torque__Nm__roll_var,82
Tool_wear__min__change,70
shift,34
